epoch,accuracy,loss,m0,m1,val_accuracy,val_loss,val_m0,val_m1
0,0.9351806044578552,0.15487994253635406,0.7808272242546082,0.7804626822471619,0.9707508683204651,0.0858069509267807,0.902082085609436,0.9018956422805786
1,0.975411057472229,0.07470253854990005,0.9092444181442261,0.9090071320533752,0.9790232181549072,0.06578586995601654,0.9327585697174072,0.9326493144035339
2,0.9814558029174805,0.05994923412799835,0.9304034113883972,0.9302154183387756,0.9833094477653503,0.05536908656358719,0.9412895441055298,0.9411647319793701
3,0.9842848777770996,0.05277850478887558,0.9407113194465637,0.9405531883239746,0.9863874912261963,0.048007532954216,0.9503680467605591,0.9502357840538025
4,0.9861116409301758,0.048166245222091675,0.9475048780441284,0.9473634958267212,0.987381637096405,0.04521428793668747,0.956459641456604,0.9563409090042114
5,0.9875014424324036,0.04462757706642151,0.9526172280311584,0.9524855017662048,0.9882287979125977,0.04280276969075203,0.9608758091926575,0.9608079195022583
6,0.9885261654853821,0.04206632822751999,0.956449568271637,0.956320583820343,0.9874898195266724,0.04401382803916931,0.9623099565505981,0.9622855186462402
7,0.9892394542694092,0.04019375517964363,0.9589894413948059,0.9588813781738281,0.9894939064979553,0.039534248411655426,0.9655733704566956,0.9655059576034546
8,0.9899320006370544,0.03840924799442291,0.9617252349853516,0.961618959903717,0.9904078841209412,0.03732750937342644,0.9669700264930725,0.9668940901756287
9,0.9906454682350159,0.03662777692079544,0.9643458724021912,0.9642512202262878,0.9904877543449402,0.03742120787501335,0.9595744013786316,0.9594350457191467
10,0.990947961807251,0.03577955812215805,0.9654666781425476,0.9653683304786682,0.9900009036064148,0.03825974091887474,0.9600822329521179,0.959958016872406
11,0.9916141033172607,0.034120455384254456,0.9678972959518433,0.9678016901016235,0.9918701648712158,0.03380078077316284,0.9687814712524414,0.9686923623085022
12,0.9917795658111572,0.03360011801123619,0.9686337113380432,0.9685416221618652,0.9896910786628723,0.038589879870414734,0.9519106149673462,0.951725959777832
13,0.9921823143959045,0.03260131925344467,0.9701055288314819,0.97001713514328,0.992078959941864,0.03301543742418289,0.9735857248306274,0.9735391139984131
14,0.9925334453582764,0.0316883884370327,0.9714236855506897,0.9713390469551086,0.9928497672080994,0.031231341883540154,0.9716677665710449,0.9715821743011475
15,0.9926899075508118,0.03124604932963848,0.9721583724021912,0.9720777273178101,0.9930365085601807,0.030817007645964622,0.9715715646743774,0.9714692831039429
16,0.992908775806427,0.0307209100574255,0.9728413820266724,0.9727616906166077,0.9922826290130615,0.03297353535890579,0.9676864743232727,0.9675829410552979
17,0.9932717680931091,0.029799871146678925,0.9742438197135925,0.974170446395874,0.9933882355690002,0.029637249186635017,0.9774601459503174,0.9774183630943298
18,0.9934986233711243,0.029212268069386482,0.9750999212265015,0.975031852722168,0.9931714534759521,0.030422387644648552,0.9704736471176147,0.9703674912452698
19,0.9937094449996948,0.028665246441960335,0.9759190678596497,0.9758538603782654,0.9934713244438171,0.029691793024539948,0.9727824926376343,0.9726902842521667
20,0.9939557909965515,0.028122421354055405,0.9767321348190308,0.9766662120819092,0.9937830567359924,0.028813570737838745,0.9777486324310303,0.9777006506919861
21,0.993949294090271,0.028054870665073395,0.9768591523170471,0.9767960906028748,0.9934970736503601,0.029135674238204956,0.9806516766548157,0.9806327223777771
22,0.9944044351577759,0.026933621615171432,0.9785184860229492,0.9784571528434753,0.9941631555557251,0.028089771047234535,0.9767866134643555,0.9767154455184937
23,0.9943596124649048,0.02701902948319912,0.9784141182899475,0.9783547520637512,0.994280993938446,0.027675919234752655,0.9758431315422058,0.9757629036903381
24,0.9946330189704895,0.02632582001388073,0.979450523853302,0.9793923497200012,0.994616687297821,0.026799160987138748,0.9768703579902649,0.9768011569976807
25,0.9948937892913818,0.02573142945766449,0.9803493022918701,0.9802919626235962,0.9947140216827393,0.026533886790275574,0.9789235591888428,0.9788583517074585
26,0.9949565529823303,0.025537392124533653,0.9806239008903503,0.9805655479431152,0.9943413138389587,0.027468407526612282,0.9793704152107239,0.9793317914009094
27,0.994999349117279,0.025404522195458412,0.9808346033096313,0.9807806015014648,0.9933859705924988,0.029849832877516747,0.9695607423782349,0.9694565534591675
28,0.9953378438949585,0.02457750402390957,0.9820441007614136,0.9819901585578918,0.9947443604469299,0.026561789214611053,0.9784252047538757,0.9783547520637512
29,0.9954556226730347,0.024280065670609474,0.9824716448783875,0.982421338558197,0.9951192736625671,0.025324732065200806,0.9841986298561096,0.9841756224632263
30,0.9954598546028137,0.024242382496595383,0.98259037733078,0.9825422167778015,0.9953433871269226,0.02485952526330948,0.984916090965271,0.9848907589912415
31,0.995430588722229,0.02428177371621132,0.9825022220611572,0.9824516177177429,0.9951820373535156,0.025283262133598328,0.9800676107406616,0.9799969792366028
32,0.9957249164581299,0.02358747273683548,0.9835596680641174,0.9835104942321777,0.9949918389320374,0.0257832333445549,0.977813184261322,0.9777377843856812
33,0.9958454966545105,0.023267433047294617,0.984049379825592,0.9840049147605896,0.9920788407325745,0.03381539508700371,0.9645765423774719,0.9644719362258911
34,0.9958696365356445,0.023209523409605026,0.9841231107711792,0.9840734601020813,0.9954757690429688,0.024647295475006104,0.9820641875267029,0.9820215702056885
35,0.9961536526679993,0.022466322407126427,0.9851884245872498,0.9851465225219727,0.995797336101532,0.023727666586637497,0.9837451577186584,0.9836897850036621
36,0.996046245098114,0.02274729125201702,0.9848474264144897,0.9847999811172485,0.9961637854576111,0.02279004454612732,0.9858405590057373,0.9858143329620361
37,0.9961546063423157,0.02248094044625759,0.985196590423584,0.9851549863815308,0.9951730966567993,0.02509823627769947,0.9838407039642334,0.9838173389434814
38,0.9963972568511963,0.021882306784391403,0.986106812953949,0.98606276512146,0.9957759976387024,0.023559553548693657,0.9858694672584534,0.9858444929122925
39,0.9963898658752441,0.021854909136891365,0.9861438870429993,0.9861048460006714,0.9961568713188171,0.022877518087625504,0.9844367504119873,0.9843820333480835
40,0.996508777141571,0.02158306911587715,0.9865632653236389,0.986522912979126,0.996169924736023,0.022776279598474503,0.9847639203071594,0.9847201704978943
41,0.9965313076972961,0.021513378247618675,0.9866419434547424,0.986607551574707,0.9958106875419617,0.023639487102627754,0.9882868528366089,0.9882922172546387
42,0.9965465068817139,0.021474383771419525,0.9867427349090576,0.9867027997970581,0.995822548866272,0.02358933351933956,0.9851617217063904,0.9851236939430237
43,0.9967518448829651,0.02096078358590603,0.9875321388244629,0.9874933362007141,0.995859682559967,0.02349124103784561,0.9847218990325928,0.9846910238265991
44,0.9966879487037659,0.021126672625541687,0.9872313141822815,0.9871987700462341,0.9963732361793518,0.022365858778357506,0.9865438938140869,0.9865105748176575
45,0.9968479871749878,0.02070915326476097,0.987888753414154,0.987852931022644,0.995349109172821,0.025187762454152107,0.9800635576248169,0.9800083637237549
46,0.9968620538711548,0.0207033921033144,0.9878998398780823,0.9878649711608887,0.9964540600776672,0.022001812234520912,0.9882965087890625,0.9882848262786865
47,0.9969052672386169,0.020556140691041946,0.9881178736686707,0.9880831837654114,0.996017336845398,0.023035701364278793,0.9871432185173035,0.9871251583099365
48,0.9969729781150818,0.020387154072523117,0.9883733987808228,0.9883397817611694,0.9966035485267639,0.02176843211054802,0.9871288537979126,0.9870883822441101
49,0.996954619884491,0.020428135991096497,0.988300085067749,0.9882653951644897,0.9966474771499634,0.02163008600473404,0.9872007966041565,0.9871702194213867
50,0.997138261795044,0.019963109865784645,0.9889708161354065,0.9889382719993591,0.996371328830719,0.02236087992787361,0.9874173402786255,0.9874030947685242
51,0.9971514344215393,0.019937410950660706,0.9890519380569458,0.9890173673629761,0.9967966675758362,0.02115979790687561,0.9882082343101501,0.9881718158721924
52,0.9972421526908875,0.01971464790403843,0.9893657565116882,0.9893363118171692,0.9959598183631897,0.023753490298986435,0.9830253720283508,0.9829723238945007
53,0.9971395134925842,0.01995231956243515,0.989027738571167,0.9889936447143555,0.996647298336029,0.02159397304058075,0.9871465563774109,0.9871073365211487
54,0.9972524046897888,0.019694799557328224,0.9894033670425415,0.9893734455108643,0.9956846833229065,0.024401867762207985,0.9848608374595642,0.9848341941833496
55,0.9973475933074951,0.019440660253167152,0.9897584915161133,0.9897292256355286,0.9966256618499756,0.021717235445976257,0.9900234341621399,0.9900168776512146
56,0.9974027872085571,0.019276024773716927,0.990043044090271,0.990018367767334,0.9967843294143677,0.02121800184249878,0.9884442687034607,0.9884185194969177
57,0.9974208474159241,0.019247697666287422,0.9900732636451721,0.9900474548339844,0.9967041015625,0.021629951894283295,0.9888148903846741,0.9888023138046265
58,0.9974820017814636,0.019099043682217598,0.9902983903884888,0.990271806716919,0.9964757561683655,0.02210642211139202,0.98919278383255,0.9891822338104248
59,0.997405469417572,0.019283631816506386,0.9900532960891724,0.9900267720222473,0.9966322779655457,0.021684318780899048,0.9876152873039246,0.9875907897949219
60,0.9975454211235046,0.018933605402708054,0.9905426502227783,0.9905140995979309,0.9945496320724487,0.02761436067521572,0.9863638877868652,0.9863911867141724
61,0.9976512789726257,0.01865442842245102,0.9909663796424866,0.9909418821334839,0.9965914487838745,0.02196505106985569,0.9870028495788574,0.9869625568389893
62,0.9976518750190735,0.018648719415068626,0.9909723401069641,0.9909444451332092,0.9963076710700989,0.022416796535253525,0.9894325733184814,0.989428699016571
63,0.9975004196166992,0.019032428041100502,0.9904446601867676,0.9904175996780396,0.996788501739502,0.021351756528019905,0.988590657711029,0.988574743270874
